IBUId,FullName,Nation,BirthYear,StatShooting_24_25,StatShooting_23_24,StatShooting_22_23,StatShooting_21_22,Prone_24_25,Prone_23_24,Prone_22_23,Prone_21_22,Standing_24_25,Standing_23_24,Standing_22_23,Standing_21_22,Skiing_24_25,Skiing_23_24,Skiing_22_23,Skiing_21_22,SkiKMB_24_25,SkiKMB_23_24,SkiKMB_22_23,SkiKMB_21_22,Starts_24_25,Starts_23_24,Starts_22_23,Starts_21_22,2021-11-27 01 (15  Individual Competition) W,2021-11-27 01 (20  Individual Competition) M,2021-11-28 01 (7.5  Sprint Competition) W,2021-11-28 01 (10  Sprint Competition) M,2021-12-02 02 (7.5  Sprint Competition) W,2021-12-02 02 (10  Sprint Competition) M,2021-12-04 02 (10  Pursuit Competition) W,2021-12-05 02 (12.5  Pursuit Competition) M,2021-12-10 03 (10  Sprint Competition) M,2021-12-10 03 (7.5  Sprint Competition) W,2021-12-11 03 (12.5  Pursuit Competition) M,2021-12-12 03 (10  Pursuit Competition) W,2021-12-16 04 (7.5  Sprint Competition) W,2021-12-17 04 (10  Sprint Competition) M,2021-12-18 04 (10  Pursuit Competition) W,2021-12-18 04 (12.5  Pursuit Competition) M,2021-12-19 04 (12.5  Mass Start Competition) W,2021-12-19 04 (15  Mass Start Competition) M,2022-01-07 05 (10  Sprint Competition) M,2022-01-07 05 (7.5  Sprint Competition) W,2022-01-09 05 (12.5  Pursuit Competition) M,2022-01-09 05 (10  Pursuit Competition) W,2022-01-12 06 (7.5  Sprint Competition) W,2022-01-13 06 (10  Sprint Competition) M,2022-01-16 06 (10  Pursuit Competition) W,2022-01-16 06 (12.5  Pursuit Competition) M,2022-01-20 07 (20  Individual Competition) M,2022-01-21 07 (15  Individual Competition) W,2022-01-22 07 (15  Mass Start Competition) M,2022-01-23 07 (12.5  Mass Start Competition) W,2022-02-07 08 (15  Individual Competition) W,2022-02-08 08 (20  Individual Competition) M,2022-02-11 08 (7.5  Sprint Competition) W,2022-02-12 08 (10  Sprint Competition) M,2022-02-13 08 (10  Pursuit Competition) W,2022-02-13 08 (12.5  Pursuit Competition) M,2022-02-18 08 (12.5  Mass Start Competition) W,2022-02-18 08 (15  Mass Start Competition) M,2022-03-05 09 (7.5  Sprint Competition) W,2022-03-05 09 (10  Sprint Competition) M,2022-03-06 09 (10  Pursuit Competition) W,2022-03-06 09 (12.5  Pursuit Competition) M,2022-03-10 10 (10  Sprint Competition) M,2022-03-11 10 (7.5  Sprint Competition) W,2022-03-12 10 (15  Mass Start Competition) M,2022-03-12 10 (12.5  Mass Start Competition) W,2022-03-18 11 (7.5  Sprint Competition) W,2022-03-18 11 (10  Sprint Competition) M,2022-03-19 11 (10  Pursuit Competition) W,2022-03-19 11 (12.5  Pursuit Competition) M,2022-03-20 11 (12.5  Mass Start Competition) W,2022-03-20 11 (15  Mass Start Competition) M,2022-11-29 01 (20  Individual Competition) M,2022-11-30 01 (15  Individual Competition) W,2022-12-03 01 (10  Sprint Competition) M,2022-12-03 01 (7.5  Sprint Competition) W,2022-12-04 01 (12.5  Pursuit Competition) M,2022-12-04 01 (10  Pursuit Competition) W,2022-12-08 02 (7.5  Sprint Competition) W,2022-12-09 02 (10  Sprint Competition) M,2022-12-10 02 (10  Pursuit Competition) W,2022-12-11 02 (12.5  Pursuit Competition) M,2022-12-15 03 (10  Sprint Competition) M,2022-12-16 03 (7.5  Sprint Competition) W,2022-12-17 03 (12.5  Pursuit Competition) M,2022-12-17 03 (10  Pursuit Competition) W,2022-12-18 03 (15  Mass Start Competition) M,2022-12-18 03 (12.5  Mass Start Competition) W,2023-01-05 04 (7.5  Sprint Competition) W,2023-01-06 04 (10  Sprint Competition) M,2023-01-07 04 (10  Pursuit Competition) W,2023-01-07 04 (12.5  Pursuit Competition) M,2023-01-11 05 (20  Individual Competition) M,2023-01-12 05 (15  Individual Competition) W,2023-01-15 05 (15  Mass Start Competition) M,2023-01-15 05 (12.5  Mass Start Competition) W,2023-01-19 06 (7.5  Sprint Competition) W,2023-01-20 06 (10  Sprint Competition) M,2023-01-21 06 (10  Pursuit Competition) W,2023-01-21 06 (12.5  Pursuit Competition) M,2023-02-10 07 (7.5  Sprint Competition) W,2023-02-11 07 (10  Sprint Competition) M,2023-02-12 07 (10  Pursuit Competition) W,2023-02-12 07 (12.5  Pursuit Competition) M,2023-02-14 07 (20  Individual Competition) M,2023-02-15 07 (15  Individual Competition) W,2023-02-19 07 (15  Mass Start Competition) M,2023-02-19 07 (12.5  Mass Start Competition) W,2023-03-02 08 (10  Sprint Competition) M,2023-03-03 08 (7.5  Sprint Competition) W,2023-03-04 08 (12.5  Pursuit Competition) M,2023-03-04 08 (10  Pursuit Competition) W,2023-03-09 09 (15  Individual Competition) W,2023-03-09 09 (20  Individual Competition) M,2023-03-12 09 (12.5  Mass Start Competition) W,2023-03-12 09 (15  Mass Start Competition) M,2023-03-16 10 (10  Sprint Competition) M,2023-03-18 10 (12.5  Pursuit Competition) M,2023-03-18 10 (7.5  Sprint Competition) W,2023-03-18 10 (10  Pursuit Competition) W,2023-03-19 10 (15  Mass Start Competition) M,2023-03-19 10 (12.5  Mass Start Competition) W,2023-11-26 01 (15  Individual Competition) W,2023-11-26 01 (20  Individual Competition) M,2023-12-01 01 (7.5  Sprint Competition) W,2023-12-02 01 (10  Sprint Competition) M,2023-12-03 01 (10  Pursuit Competition) W,2023-12-03 01 (12.5  Pursuit Competition) M,2023-12-08 02 (10  Sprint Competition) M,2023-12-08 02 (7.5  Sprint Competition) W,2023-12-09 02 (12.5  Pursuit Competition) M,2023-12-09 02 (10  Pursuit Competition) W,2023-12-14 03 (7.5  Sprint Competition) W,2023-12-15 03 (10  Sprint Competition) M,2023-12-16 03 (10  Pursuit Competition) W,2023-12-16 03 (12.5  Pursuit Competition) M,2023-12-17 03 (12.5  Mass Start Competition) W,2023-12-17 03 (15  Mass Start Competition) M,2024-01-05 04 (10  Sprint Competition) M,2024-01-05 04 (7.5  Sprint Competition) W,2024-01-06 04 (12.5  Pursuit Competition) M,2024-01-06 04 (10  Pursuit Competition) W,2024-01-12 05 (7.5  Sprint Competition) W,2024-01-13 05 (10  Sprint Competition) M,2024-01-14 05 (10  Pursuit Competition) W,2024-01-14 05 (12.5  Pursuit Competition) M,2024-01-18 06 (15  Short Individual) M,2024-01-19 06 (12.5  Short Individual) W,2024-01-21 06 (15  Mass Start Competition) M,2024-01-21 06 (12.5  Mass Start Competition) W,2024-02-09 07 (7.5  Sprint Competition) W,2024-02-10 07 (10  Sprint Competition) M,2024-02-11 07 (10  Pursuit Competition) W,2024-02-11 07 (12.5  Pursuit Competition) M,2024-02-13 07 (15  Individual Competition) W,2024-02-14 07 (20  Individual Competition) M,2024-02-18 07 (12.5  Mass Start Competition) W,2024-02-18 07 (15  Mass Start Competition) M,2024-03-01 08 (15  Individual Competition) W,2024-03-01 08 (20  Individual Competition) M,2024-03-02 08 (12.5  Mass Start Competition) W,2024-03-02 08 (15  Mass Start Competition) M,2024-03-08 09 (7.5  Sprint Competition) W,2024-03-09 09 (10  Sprint Competition) M,2024-03-10 09 (10  Pursuit Competition) W,2024-03-10 09 (12.5  Pursuit Competition) M,2024-03-14 10 (7.5  Sprint Competition) W,2024-03-15 10 (10  Sprint Competition) M,2024-03-16 10 (10  Pursuit Competition) W,2024-03-16 10 (12.5  Pursuit Competition) M,2024-03-17 10 (12.5  Mass Start Competition) W,2024-03-17 10 (15  Mass Start Competition) M,2024-12-03 01 (15  Short Individual) M,2024-12-04 01 (12.5  Short Individual) W,2024-12-06 01 (10  Sprint Competition) M,2024-12-07 01 (7.5  Sprint Competition) W,2024-12-08 01 (15  Mass Start Competition) M,2024-12-08 01 (12.5  Mass Start Competition) W,2024-12-13 02 (7.5  Sprint Competition) W,2024-12-13 02 (10  Sprint Competition) M,2024-12-14 02 (10  Pursuit Competition) W,2024-12-14 02 (12.5  Pursuit Competition) M,2024-12-19 03 (10  Sprint Competition) M,2024-12-20 03 (7.5  Sprint Competition) W,2024-12-21 03 (12.5  Pursuit Competition) M,2024-12-21 03 (10  Pursuit Competition) W,2024-12-22 03 (15  Mass Start Competition) M,2024-12-22 03 (12.5  Mass Start Competition) W,2025-01-09 04 (7.5  Sprint Competition) W,2025-01-10 04 (10  Sprint Competition) M,2025-01-11 04 (10  Pursuit Competition) W,2025-01-11 04 (12.5  Pursuit Competition) M,2025-01-15 05 (20  Individual Competition) M,2025-01-16 05 (15  Individual Competition) W,2025-01-19 05 (15  Mass Start Competition) M,2025-01-19 05 (12.5  Mass Start Competition) W,2025-01-23 06 (7.5  Sprint Competition) W,2025-01-24 06 (10  Sprint Competition) M,2025-01-25 06 (10  Pursuit Competition) W,2025-01-26 06 (12.5  Pursuit Competition) M,2025-02-14 07 (7.5  Sprint Competition) W,2025-02-15 07 (10  Sprint Competition) M,2025-02-16 07 (10  Pursuit Competition) W,2025-02-16 07 (12.5  Pursuit Competition) M,2025-02-18 07 (15  Individual Competition) W,2025-02-19 07 (20  Individual Competition) M,2025-02-23 07 (12.5  Mass Start Competition) W,2025-02-23 07 (15  Mass Start Competition) M,2025-03-06 08 (10  Sprint Competition) M,2025-03-07 08 (7.5  Sprint Competition) W,2025-03-08 08 (12.5  Pursuit Competition) M,2025-03-08 08 (10  Pursuit Competition) W,2025-03-13 09 (12.5  Short Individual) W,2025-03-13 09 (15  Short Individual) M,2025-03-15 09 (12.5  Mass Start Competition) W,2025-03-15 09 (15  Mass Start Competition) M,2025-03-21 10 (10  Sprint Competition) M,2025-03-21 10 (7.5  Sprint Competition) W,2025-03-22 10 (12.5  Pursuit Competition) M,2025-03-22 10 (10  Pursuit Competition) W,2025-03-23 10 (12.5  Mass Start Competition) W,2025-03-23 10 (15  Mass Start Competition) M
BTROU22908200401,Adelina RIMBEU,ROU,2004,,,,,,,,,,,,,,,,,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,
BTKAZ20505200201,Aisha RAKISHEVA,KAZ,2002,68%,,,,59%,,,,77%,,,,5%,,,,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,88,,,91,,,,,100,,,,
BTSUI20902199401,Aita GASPARIN,SUI,1994,87%,85%,86%,82%,90%,89%,89%,92%,85%,82%,83%,73%,-1%,0%,0%,1%,7.7,10.0,8.3,10.9,,,,,68,,71,,46,,30,,,73,,,85,,,,,,,69,,,80,,,,,,,,,,,,,,,,22,,22,,,30,,,40,,33,,,,,21,,14,,34,14,,21,,,45,,12,,26,12,,14,,,84,,22,41,,,,20,,38,,,27,,30,,37,,44,34,,19,,,,51,,,21,32,,34,,38,,,39,,24,34,,40,,,,,61,,,30,,29,,,21,,19,62,,,,46,,,,34,,,,8,,15,,39,,21,,,,,79,,18,,,47,,37,,,,,,,,27,,23,,,25,,,13,,8,,41,,21,,20,,11,,,20,,19,14,,19,,,10,,11,24,
BTBLR22706200001,Alina PILCHUK,BLR,2000,,,,90%,,,,90%,,,,90%,,,,3%,,,,17.3,,,,,,,,,,,,,,,,,,,,,,,,42,,40,64,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTKAZ20401200101,Alina SKRIPKINA,KAZ,2001,,73%,71%,,,87%,69%,,,62%,72%,,,,10%,,,27.0,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTMDA21107199501,Alina STREMOUS,MDA,1995,86%,85%,81%,84%,86%,87%,81%,87%,87%,83%,80%,82%,0%,-1%,-1%,-1%,8.7,7.8,8.8,7.1,,,,,55,,67,,47,,48,,,51,,45,39,,27,,,,,37,,16,22,,38,,,14,,9,37,,10,,16,,30,,30,,25,,,45,,,,,,,,,,52,,56,,44,52,,54,,,50,,52,,,31,,34,,,12,,20,30,,37,,63,,,,,41,,,,70,,,83,,,,,,98,,,,26,,26,,32,,,54,,56,47,,34,,,,,40,,,43,,26,,,59,,,,,,,,,,,57,,,,,,,,,,,,,,,42,,15,,18,48,,18,,,52,,,,,49,,40,,,76,,,53,,,,67,,,,48,,,,,54,,,39,,,,,57,,,,
BTMDA20410199401,Aliona MAKAROVA,MDA,1994,78%,78%,,78%,76%,81%,,76%,80%,76%,,80%,6%,4%,,1%,20.5,18.4,,13.0,,,,,90,,69,,68,,,,,105,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,46,,,70,,,53,,55,,,,,73,,,94,,,,,,,,83,,,,63,,,,35,,,,,,,,,,,,,,,99,,82,,,,,,,,76,,,,,75,,,,,64,,,96,,,,74,,,,74,,,,,96,,,85,,,,,103,,,,
BTUKR21206199201,Alla GHILENKO,MDA,1992,73%,73%,78%,80%,78%,78%,82%,87%,69%,68%,75%,73%,10%,5%,7%,8%,28.5,19.9,22.7,28.3,,,,,,,,,,,,,,,,,,,,,,,,81,,,65,,,,,,,,72,,86,,,,,,,,,,,,,,,,,,,,,,,93,,,85,,,,,87,,,,,92,,,,,,,,78,,,,77,,,,,,,,,82,,,91,,,,,,61,,,,41,,53,,,,,82,,,71,,,,,,,90,,,77,,,,,81,,,72,,,,88,,,,,,,,,,,,,,,,,,,,,94,,,93,,,,,92,,,,,93,,,,,92,,,91,,,,90,,,,,,,,,100,,,88,,,,,104,,,,
BTUSA20205199801,Amanda KAUTZER,USA,1998,,,,,,,,,,,,,,,,,,,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTGBR23001198701,Amanda LIGHTFOOT,GBR,1987,,,,80%,,,,78%,,,,83%,,,,4%,,,,19.9,,,,,,,,,107,,,,,104,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTFRA20310200401,Amandine MENGIN,FRA,2004,,,,,,,,,,,,,,,,,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,
BTSUI22909200001,Amy BASERGA,SUI,2000,88%,86%,88%,84%,90%,89%,92%,85%,85%,83%,85%,84%,0%,0%,0%,2%,6.6,8.8,6.8,10.6,,,,,49,,34,,71,,,,,79,,,35,,35,,,,,48,,46,40,,42,,,28,,,69,,54,,39,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,39,,20,,,14,,12,,,24,,,,,,,39,,26,,,38,,,,19,,29,19,,,,,,68,,,,12,,31,,,,,,,,30,,36,,,,,24,,21,18,,12,,,36,,10,54,,54,,51,,,,23,,22,,,,,,35,,31,,9,,,19,,39,,25,40,,44,,,,,,,,20,,11,,,3,,14,8,,7,,61,,,,19,,,,,18,,26,28,,28,,,6,,13,14,
BTFRA21505198701,Anais BESCOND,FRA,1987,,,,81%,,,,85%,,,,77%,,,,-3%,,,,4.0,,,,,28,,13,,14,,2,,,14,,32,2,,6,,,,,17,,23,7,,4,,,77,,13,30,,9,,27,,29,,21,,13,,,17,,23,37,,23,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTFRA21202199301,Anais CHEVALIER-BOUCHET,FRA,1993,,,85%,82%,,,83%,85%,,,87%,80%,,,-4%,-3%,,,2.3,3.4,,,,,52,,2,,6,,3,,,60,,22,25,,14,,14,,,6,,5,14,,16,,,,,3,2,,68,,,,19,,5,,6,,,7,,17,5,,4,,24,,,30,,25,,12,16,,12,,,10,,9,,3,29,,15,,,23,,3,15,,13,,24,,23,,,12,,4,,3,,3,12,,15,,,,9,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTSLO21706199501,Anamarija LAMPIC,SLO,1995,63%,64%,59%,,74%,71%,78%,,53%,58%,41%,,-6%,-7%,-7%,,0.3,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,69,,,,,,,,5,,,,58,,51,,,,,,,40,,50,61,,,,,,69,,,,55,,25,,28,,,8,,33,14,,37,,16,,,19,,19,14,,24,,,34,,14,36,,28,,58,,,,32,,10,,18,,31,,9,,23,,28,,,92,,51,,,8,,38,,,3,,13,,27,22,,18,,,60,,10,29,,38,,14,,28,,71,,16,,,21,,52,48,,3,,,52,,29,28,
